Name;Kategorie;Gerätestufe;Handling_Strasse;Handling_Gelaende;Beschleunigung_Normal;Beschleunigung_Sprint;Geschwindigkeit_Normal;Geschwindigkeit_Sprint;Pilot;Rumpf;Panzerung;Sensor;Sitze;Quelle;Seite;Erläuterungen
Suzuki Mirage;Motorräder;1.0;5.0;3.0;3.0;3.0;6.0;6.0;1.0;5.0;6.0;2.0;1.0;SR5;462;
SWAT-Einsatzfahrzeug/Mobile Kommandozentrale (Ares Roadmaster), Nachahmung;Sicherheit/Polizei/Militär;5.0;5.0;5.0;2.0;2.0;5.0;5.0;5.0;27.0;27.0;5.0;12.0;SS;187;
Tata Hotspur;Autos;2.0;4.0;5.0;3.0;3.0;6.0;6.0;2.0;16.0;12.0;2.0;2.0;R5;53;Geländeaufhängung
Telestrian Industries Shamus;Kleine Drohnen;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;4.0;4.0;8.0;0.0;R5;138;Riggerinterface
Thundercloud Morgan;Autos;0.0;3.0;5.0;3.0;3.0;4.0;4.0;0.0;14.0;6.0;0.0;2.0;R5;52;Geländeaufhängung
Thundercloud Mustang;Motorräder;1.0;4.0;4.0;2.0;2.0;3.0;3.0;1.0;8.0;6.0;1.0;2.0;R5;46;Smartreifen
THW MzKW C;Autos;3.0;5.0;5.0;2.0;2.0;4.0;4.0;3.0;14.0;10.0;5.0;5.0;SOTG;16;Diebstahlsicherung
Toyota Elite;Autos;2.0;5.0;4.0;2.0;2.0;5.0;5.0;2.0;12.0;12.0;4.0;4.0;2050;208;
Toyota Gopher;LKWs;1.0;5.0;5.0;2.0;2.0;4.0;4.0;1.0;14.0;10.0;2.0;3.0;SR5;463;Geländeaufhängung
Toyota Talon;Autos;2.0;4.0;3.0;2.0;2.0;4.0;4.0;2.0;12.0;6.0;2.0;5.0;R5;55;
Transys Office Maid;Mittlere Drohnen;4.0;3.0;3.0;2.0;2.0;3.0;3.0;4.0;3.0;0.0;3.0;0.0;SS;179;Drohnenarm
Transys Steed;Mittlere Drohnen;2.0;4.0;2.0;1.0;1.0;1.0;1.0;2.0;3.0;0.0;4.0;0.0;R5;141;Riggerinterface
Überwachungsdrohne;Mittlere Drohnen;3.0;4.0;4.0;2.0;2.0;4.0;4.0;3.0;4.0;4.0;3.0;0.0;2050;212;Riggerinterface
UCAS-Regierungsfahrzeug (GMC Sidewinder (SUV)), Nachahmung;Sicherheit/Polizei/Militär;3.0;6.0;5.0;3.0;3.0;6.0;6.0;3.0;15.0;9.0;3.0;9.0;SS;187;
Ultramarine Kingfisher;Schiffe;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;16.0;12.0;4.0;6.0;R5;92;Innenausstattung (minimal)
Universal Hovercraft Minnesota;Nutzfahrzeuge;3.0;4.0;4.0;2.0;2.0;4.0;4.0;3.0;14.0;9.0;3.0;14.0;R5;65;
Vodyanoy Sturm-Hovercraft;Nutzfahrzeuge;1.0;3.0;3.0;3.0;3.0;4.0;4.0;1.0;16.0;16.0;2.0;10.0;R5;65;Innenausstattung (minimal)
Volkswagen MultyCity;Autos;1.0;3.0;2.0;1.0;1.0;4.0;4.0;1.0;12.0;4.0;1.0;3.0;SHB;42;
Volkswagen Urban Allrounder;Autos;2.0;3.0;3.0;1.0;1.0;3.0;3.0;2.0;13.0;6.0;2.0;5.0;SHB;42;
Vulkan Delfin RQ-11;U-Boot;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;12.0;10.0;1.0;7.0;HAMG;175;
Vulkan Electronaut;U-Boot;4.0;3.0;3.0;1.0;1.0;3.0;3.0;4.0;12.0;10.0;4.0;2.0;SR5;464;
VW Freya;Nutzfahrzeuge;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;14.0;8.0;2.0;3.0;SAG;54;Fahrgastsicherheitssystem
VW Urban Clipper;LKWs;2.0;3.0;3.0;1.0;1.0;3.0;3.0;2.0;13.0;6.0;4.0;1.0;SHB3;217;Riggerinterface
Yamaha Growler;Motorräder;1.0;4.0;5.0;1.0;1.0;3.0;4.0;1.0;5.0;5.0;1.0;1.0;SR5;462;Geländeaufhängung
Yamaha Kaburaya;Motorräder;1.0;5.0;3.0;3.0;3.0;6.0;6.0;1.0;5.0;4.0;2.0;1.0;R5;44;
Yamaha Nodachi;Motorräder;2.0;4.0;3.0;2.0;2.0;5.0;5.0;2.0;8.0;9.0;2.0;2.0;R5;45;
Yamaha Rapier;Motorräder;1.0;5.0;3.0;3.0;3.0;6.0;6.0;1.0;5.0;6.0;1.0;1.0;2050;208;
Yongkang Gala Trinity;Schiffe;1.0;5.0;5.0;3.0;3.0;6.0;6.0;1.0;10.0;6.0;1.0;3.0;SR5;464;Schmuggelfrachtraum
Yongkang Water Spirit;Schiffe;2.0;5.0;5.0;1.0;1.0;3.0;3.0;2.0;6.0;3.0;2.0;6.0;HAMG;177;
ZET Commando;Autos;4.0;3.0;4.0;3.0;3.0;4.0;4.0;4.0;16.0;14.0;4.0;5.0;SOTG;16;Diebstahlsicherung
Zodiac Scorpio;Schiffe;1.0;4.0;4.0;2.0;2.0;4.0;4.0;1.0;10.0;6.0;1.0;8.0;R5;82;
